RK,PLAYER NAME,TEAM,TEAM POS,TEAM POS RANK,BYE WEEK
239,Terrance Ferguson,LAR,TE,TE1,11
240,Elic Ayomanor,TEN,WR,WR5,9
241,Germie Bernard,PIT,WR,WR3,9
242,MarShawn Lloyd,GB,RB,RB2,11
243,Keon Coleman,BUF,WR,WR3,7
244,Ted Hurst III,TB,WR,WR4,10
245,David Njoku,LAC,TE,TE2,7
246,Evan Engram,DEN,TE,TE1,10
247,Fernando Mendoza,LV,QB,QB1,13
248,Chris Boswell,PIT,K,K1,9
249,Harrison Butker,KC,K,K1,5
250,Justice Hill,BAL,RB,RB2,13
251,Colby Parkinson,LAR,TE,TE2,11
252,Jaydon Blue,DAL,RB,RB2,14
253,Christian Kirk,SF,WR,WR5,8
254,Greg Dulcich,MIA,TE,TE1,6
255,Isaiah Davis,NYJ,RB,RB3,13
256,Elijah Sarratt,BAL,WR,WR3,13
257,Tory Horton,SEA,WR,WR4,11
258,Trey Benson,ARI,RB,RB4,14
259,Tua Tagovailoa,ATL,QB,QB1,11
260,Tyreek Hill,FA,WR,WR3,-
261,Malachi Fields,NYG,WR,WR3,8
262,Ty Johnson,BUF,RB,RB3,7
263,DJ Giddens,IND,RB,RB2,13
264,Chris Bell,MIA,WR,WR2,6
265,Eli Stowers,PHI,TE,TE2,10
266,Darius Slayton,NYG,WR,WR4,8
267,Devin Neal,NO,RB,RB3,8
268,Marvin Mims Jr.,DEN,WR,WR5,10
269,Demond Claiborne,MIN,RB,RB3,6
270,Jordan James,SF,RB,RB2,8
271,Chris Brooks,GB,RB,RB3,11
272,Mason Taylor,NYJ,TE,TE2,13
273,George Holani,SEA,RB,RB4,11
274,Chris Brazzell II,CAR,WR,WR3,5
275,Wil Lutz,DEN,K,K1,10
276,LeQuint Allen Jr.,JAC,RB,RB3,7
277,Theo Johnson,NYG,TE,TE2,8
278,Xavier Legette,CAR,WR,WR4,5
279,Michael Penix Jr.,ATL,QB,QB2,11
280,Tyquan Thornton,KC,WR,WR3,5
281,Samaje Perine,CIN,RB,RB2,6
282,Kaleb Johnson,PIT,RB,RB3,9
283,Devaughn Vele,NO,WR,WR3,8
284,San Francisco 49ers,SF,DST,DST1,8
285,Will Reichard,MIN,K,K1,6
286,Atlanta Falcons,ATL,DST,DST1,11
287,Malik Davis,DAL,RB,RB3,14
288,Oscar Delp,NO,TE,TE2,8
289,Kyle Williams,NE,WR,WR4,11
290,Shedeur Sanders,CLE,QB,QB1,11
291,Keenan Allen,LAC,WR,WR4,7
292,Hollywood Brown,PHI,WR,WR4,10
293,Kendre Miller,NO,RB,RB4,8
294,Emari Demercado,KC,RB,RB3,5
295,Mack Hollins,NE,WR,WR5,11
296,Brashard Smith,KC,RB,RB4,5
297,Deshaun Watson,CLE,QB,QB2,11
298,Devin Singletary,NYG,RB,RB3,8
299,Kaelon Black,SF,RB,RB3,8
300,Jerome Ford,WAS,RB,RB4,7
301,Kirk Cousins,LV,QB,QB2,13
302,Mike Gesicki,CIN,TE,TE1,6
303,Isaiah Bond,CLE,WR,WR4,11
304,Najee Harris,LAC,RB,RB4,7
305,Skyler Bell,BUF,WR,WR4,7
306,Trevor Etienne,CAR,RB,RB3,5
307,Tahj Brooks,CIN,RB,RB3,6
308,Adam Randall,BAL,RB,RB3,13
309,Seth McGowan,IND,RB,RB3,13
310,New Orleans Saints,NO,DST,DST1,8
311,Charlie Smyth,NO,K,K1,8
312,Jaleel McLaughlin,DEN,RB,RB4,10
313,Isaac Guerendo,SF,RB,RB4,8
314,Andrei Iosivas,CIN,WR,WR3,6
315,Ja'Kobi Lane,BAL,WR,WR4,13
316,Jarquez Hunter,LAR,RB,RB3,11
317,Jake Tonges,SF,TE,TE2,8
318,Indianapolis Colts,IND,DST,DST1,13
319,Audric Estime,NO,RB,RB5,8
320,Will Shipley,PHI,RB,RB3,10
321,Joe Mixon,FA,RB,RB1,-
322,Chicago Bears,CHI,DST,DST1,10
323,Darnell Washington,PIT,TE,TE2,9
324,Konata Mumpfield,LAR,WR,WR3,11
325,Jalen Royals,KC,WR,WR4,5
326,Cedric Tillman,CLE,WR,WR5,11
327,J.J. McCarthy,MIN,QB,QB2,6
328,Luke McCaffrey,WAS,WR,WR3,7
329,Calvin Austin III,NYG,WR,WR5,8
330,Kareem Hunt,FA,RB,RB2,-
331,Tez Johnson,TB,WR,WR5,10
332,Jalen Tolbert,MIA,WR,WR3,6
333,Joshua Palmer,BUF,WR,WR5,7
334,Olamide Zaccheaus,ATL,WR,WR3,11
335,Tyler Higbee,LAR,TE,TE3,11
336,Caleb Douglas,MIA,WR,WR4,6
337,Jahan Dotson,ATL,WR,WR4,11
338,DeMario Douglas,NE,WR,WR6,11
339,Max Klare,LAR,TE,TE4,11
340,Mac Jones,SF,QB,QB2,8
341,Michael Mayer,LV,TE,TE2,13
342,Elijah Arroyo,SEA,TE,TE2,11
343,Carolina Panthers,CAR,DST,DST1,5
344,Noah Gray,KC,TE,TE2,5
345,Carson Beck,ARI,QB,QB2,14
346,Dont'e Thornton Jr.,LV,WR,WR4,13
347,Bam Knight,ARI,RB,RB5,14
348,Treylon Burks,WAS,WR,WR4,7
349,Eli Heidenreich,PIT,RB,RB4,9
350,Cole Kmet,CHI,TE,TE2,10
351,Ja'Tavion Sanders,CAR,TE,TE1,5
352,Kendrick Bourne,ARI,WR,WR3,14
353,Justin Fields,KC,QB,QB2,5
354,Ty Simpson,LAR,QB,QB2,11
355,Xavier Hutchinson,HOU,WR,WR5,8
356,Anthony Richardson Sr.,IND,QB,QB2,13
357,Bryce Lance,NO,WR,WR4,8
358,Brenen Thompson,LAC,WR,WR5,7
359,Jake Elliott,PHI,K,K1,10
360,Jaylin Lane,WAS,WR,WR5,7
361,Dallas Cowboys,DAL,DST,DST1,14
362,Michael Carter,TEN,RB,RB4,9
363,Raheim Sanders,CLE,RB,RB3,11
364,Tutu Atwell,MIA,WR,WR5,6
365,New York Giants,NYG,DST,DST1,8
366,John Metchie III,CAR,WR,WR5,5
367,Dawson Knox,BUF,TE,TE2,7
368,Nick Chubb,FA,RB,RB3,-
369,Tyler Bass,BUF,K,K1,7
370,Jawhar Jordan,HOU,RB,RB3,8
371,Zane Gonzalez,MIA,K,K1,6
372,Justin Joly,DEN,TE,TE2,10
373,J'Mari Taylor,JAC,RB,RB4,7
374,Kevin Coleman Jr.,MIA,WR,WR6,6
375,Savion Williams,GB,WR,WR4,11
376,Erick All Jr.,CIN,TE,TE2,6
377,Noah Fant,NO,TE,TE3,8
378,Tampa Bay Buccaneers,TB,DST,DST1,10
379,Kalif Raymond,CHI,WR,WR3,10
380,Cincinnati Bengals,CIN,DST,DST1,6
381,KaVontae Turpin,DAL,WR,WR4,14
382,Eli Raridon,NE,TE,TE2,11
383,Kyle Juszczyk,SF,RB,RB5,8
